index,X,Y,Z,val,feature_name,strike,dip
300,1649753.7542615358,5340596.234477704,0.0,,Clarence Fault,65.0,70.0
301,1640986.3120673646,5334984.224377572,0.0,,Clarence Fault,65.0,70.0
302,1632733.6626039336,5329680.899650214,0.0,,Clarence Fault,60.0,70.0
303,1689964.336063927,5369848.837124652,0.0,,Clarence Fault,69.0,90.0
304,1632016.2782939647,5329474.420033322,0.0,,Clarence Fault,85.0,80.0
305,1627738.444179901,5329522.069175678,0.0,,Clarence Fault,85.0,80.0
306,1623217.0700048849,5328219.659284518,0.0,,Clarence Fault,85.0,80.0
307,1621777.0070357926,5327383.15211865,0.0,,Clarence Fault,75.0,90.0
308,1617297.987653986,5325477.186424267,0.0,,Clarence Fault,75.0,90.0
309,1609536.4717985182,5322967.664926662,0.0,,Clarence Fault,75.0,90.0
310,1603416.2041798804,5319409.862297145,0.0,,Clarence Fault,60.0,90.0
311,1592679.2641015064,5312378.966624528,0.0,,Clarence Fault,60.0,90.0
312,1579671.3791341493,5305305.7988829,0.0,,Clarence Fault,60.0,90.0
313,1559499.9088685685,5296284.227929486,0.0,,Clarence Fault,60.0,90.0
314,1542176.7984462644,5287897.978874196,0.0,,Clarence Fault,60.0,90.0
315,1631736.0086857816,5329225.668347423,0.0,,Elliott Fault,240.0,70.0
316,1628051.1416766369,5325879.639683948,0.0,,Elliott Fault,240.0,70.0
317,1624959.2417724112,5323380.706884646,0.0,,Elliott Fault,240.0,70.0
318,1615630.598568223,5313522.62876536,0.0,,Elliott Fault,230.0,70.0
319,1609362.089173356,5308291.8118041055,0.0,,Elliott Fault,230.0,70.0
320,1606185.4796827133,5307148.232387473,0.0,,Elliott Fault,-95.0,90.0
321,1591636.6082155698,5305221.089296486,0.0,,Elliott Fault,-95.0,90.0
322,1585473.985803722,5304945.78314063,0.0,,Elliott Fault,-95.0,90.0
323,1654361.409782885,5313967.354094061,0.0,,Hope fault,65.0,70.0
324,1642480.8902878806,5310155.422705292,0.0,,Hope fault,65.0,70.0
